code,name,taxes_id,supplier_taxes_id
0,"PRODUCTOS DE LA AGRICULTURA,  SILVICULTURA Y LA PESCA",,
1,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",,
11,CEREALES,,
111,TRIGO Y MORCAJO O TRANQUILLON,,
1110,TRIGO Y MORCAJO O TRANQUILLON SIN MOLER,,
1110,TRIGO DURO SIN MOLER,,
1110.1,OTROS TIPOS DE TRIGO (INCLUSO ESCANDA O MORCAJO O TRANQUILLON) SIN MOLER ,,
112,MAIZ,,
1120,MAIZ,,
1120,"MAIZ PARA SEMILLA, (EXCEPTO MAIZ DULCE)",,
01120.00.1,MAIZ PARA SEMILLA VARIEDAD HIBRIDO(A),,
01120.00.2,MAIZ PARA SEMILLA VARIEDAD PURA,,
1120.1,"OTRO MAIZ DURO: AMARILLO Y BLANCO (MOROCHO), MAIZ REVENTON (CANGUIL)",,
01120.10.1,OTRO MAIZ DURO,,
113,ARROZ CON CASCARA,,
1130,ARROZ CON CASCARA,,
1130,ARROZ CON CASCARA (ARROZ PADDY O ARROZ EN BRUTO),,
01130.00.1,ARROZ  CON CASCARA,,
114,ARROZ DESCASCARILLADO,,
1140,ARROZ DESCASCARILLADO,,
1140,"ARROZ DESCASCARILLADO (ARROZ PILADO), PERO SIN OTRA PREPARACION: ARROZ CARGO O ARROZ MORENO",,
01140.00.1,ARROZ DESCASCARILLADO,,
115,CEBADA,,
1150,CEBADA,,
1150,"CEBADA EN GRANO SECO, SIN MOLER.",,
01150.00.1,CEBADA EN GRANO SECO,,
116,CENTENO Y AVENA,,
1160,CENTENO Y AVENA,,
1160,"CENTENO EN GRANO SECO, SIN MOLER.",,
01160.00.1,CENTENO EN GRANO SECO,,
1160.1,"AVENA EN GRANO SECO, SIN MOLER.",,
01160.10.1,"AVENA EN GRANO SECO, SIN MOLER.",,
119,OTROS CEREALES,,
1190,OTROS CEREALES,,
1190,"SORGO DE GRANO, SIN MOLER",,
01190.00.1,SORGO DE GRANO,,
1190.1,"MIJO EN GRANO SECO, SIN MOLER",,
11901001,MIJOSECO2,,
01190.10.1,"MIJO EN GRANO SECO, SIN MOLER",,
1190.11,"ALFORFON EN GRANO SECO, SIN MOLER",,
01190.11.1,"ALFORFON EN GRANO SECO, SIN MOLER",,
1190.12,"ALPISTE EN GRANO SECO, SIN MOLER",,
01190.12.1,"ALPISTE EN GRANO SECO, SIN MOLER",,
