external_id,default_code,name,taxes_id,supplier_taxes_id
product.product_1,0,"PRODUCTOS DE LA AGRICULTURA,  SILVICULTURA Y LA PESCA",,
product.product_2,1,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",,
product.product_3,11,CEREALES,,
product.product_4,111,TRIGO Y MORCAJO O TRANQUILLON,,
product.product_5,1110,TRIGO Y MORCAJO O TRANQUILLON SIN MOLER,,
product.product_6,1110,TRIGO DURO SIN MOLER,,
product.product_7,1110.1,OTROS TIPOS DE TRIGO (INCLUSO ESCANDA O MORCAJO O TRANQUILLON) SIN MOLER ,,
product.product_8,112,MAIZ,,
product.product_9,1120,MAIZ,,
product.product_10,1120,"MAIZ PARA SEMILLA, (EXCEPTO MAIZ DULCE)",,
product.product_11,01120.00.1,MAIZ PARA SEMILLA VARIEDAD HIBRIDO(A),,
product.product_12,01120.00.2,MAIZ PARA SEMILLA VARIEDAD PURA,,
product.product_13,1120.1,"OTRO MAIZ DURO: AMARILLO Y BLANCO (MOROCHO), MAIZ REVENTON (CANGUIL)",,
product.product_14,01120.10.1,OTRO MAIZ DURO,,
product.product_15,113,ARROZ CON CASCARA,,
product.product_16,1130,ARROZ CON CASCARA,,
product.product_17,1130,ARROZ CON CASCARA (ARROZ PADDY O ARROZ EN BRUTO),,
product.product_18,01130.00.1,ARROZ  CON CASCARA,,
product.product_19,114,ARROZ DESCASCARILLADO,,
product.product_20,1140,ARROZ DESCASCARILLADO,,
product.product_21,1140,"ARROZ DESCASCARILLADO (ARROZ PILADO), PERO SIN OTRA PREPARACION: ARROZ CARGO O ARROZ MORENO",,
product.product_22,01140.00.1,ARROZ DESCASCARILLADO,,
product.product_23,115,CEBADA,,
product.product_24,1150,CEBADA,,
product.product_25,1150,"CEBADA EN GRANO SECO, SIN MOLER.",,
product.product_26,01150.00.1,CEBADA EN GRANO SECO,,
product.product_27,116,CENTENO Y AVENA,,
product.product_28,1160,CENTENO Y AVENA,,
product.product_29,1160,"CENTENO EN GRANO SECO, SIN MOLER.",,
product.product_30,01160.00.1,CENTENO EN GRANO SECO,,
product.product_31,1160.1,"AVENA EN GRANO SECO, SIN MOLER.",,
product.product_32,01160.10.1,"AVENA EN GRANO SECO, SIN MOLER.",,
product.product_33,119,OTROS CEREALES,,
product.product_34,1190,OTROS CEREALES,,
product.product_35,1190,"SORGO DE GRANO, SIN MOLER",,
product.product_36,01190.00.1,SORGO DE GRANO,,
product.product_37,1190.1,"MIJO EN GRANO SECO, SIN MOLER",,
product.product_38,11901001,MIJOSECO2,,
product.product_39,01190.10.1,"MIJO EN GRANO SECO, SIN MOLER",,
product.product_40,1190.11,"ALFORFON EN GRANO SECO, SIN MOLER",,
product.product_41,01190.11.1,"ALFORFON EN GRANO SECO, SIN MOLER",,
product.product_42,1190.12,"ALPISTE EN GRANO SECO, SIN MOLER",,
product.product_43,01190.12.1,"ALPISTE EN GRANO SECO, SIN MOLER",,
product.product_44,1190.19,"OTROS CEREALES EN GRANO SECO, SIN MOLER: QUINUA, ETC",,
product.product_45,01190.19.1,COMPOSICIONES ALIMENTICIAS INFANTIL  A BASE DE CEREALES,,
product.product_46,1190.2,ALIMENTO FORTIFICADO PARA EL ADULTO MAYOR,,
product.product_47,12,LEGUMBRES Y TUBERCULOS,,
product.product_48,121,PAPAS (PATATAS),,
product.product_49,1210,PAPAS (PATATAS),,
product.product_50,1210,"PATATAS (PAPAS), FRESCAS O REFRIGERADAS (NO INCLUIDAS LAS BATATAS)",,
product.product_51,01210.00.1,"PAPAS, FRESCAS O REFRIGERADAS EMPACADAS",,
product.product_52,122,LEGUMINOSAS SECAS Y PELADAS,,
product.product_53,1220,LEGUMINOSAS SECAS Y PELADAS,,
product.product_54,1220,GUISANTES O ARVEJAS SECAS O PELADAS.,,
product.product_55,01220.00.1,GUISANTES O ARVEJAS,,
product.product_56,1220.01,GARBANZOS SECOS Y PELADOS.,,
product.product_57,01220.01.1,GARBANZOS,,
product.product_58,1220.02,"FRIJOLES SECOS Y PELADOS, EXCEPTO HABAS COMUNES Y HABAS CABALLARE EXCEPTO HABAS COMUNES Y HABAS CABALLARE",,
product.product_59,1220.03,LENTEJAS SECAS Y PELADAS.,,
product.product_60,01220.03.1,LENTEJAS SECAS Y PELADAS.,,
product.product_61,1220.04,HABAS SECAS Y PELADAS COMUNES Y HABAS CABALLARES,,
product.product_62,01220.04.1,HABAS,,
product.product_63,1220.05,FRIJOLES SECOS Y VERDES CON VAINA O DESVAINADOS,,
product.product_64,01220.05.1,"FRIJOLES SECOS Y VERDES EMPACADOS (FREJOL, POROTO, ALUBIA, JUDIA) ",,
product.product_65,1220.06,HABAS VERDES EMPACADAS,,
product.product_66,01220.06.1,HABAS VERDES,,
product.product_67,1220.07,GUISANTES O ARVEJAS VERDES,,
product.product_68,01220.07.1,ARVEJAS VERDES EMPACADAS,,
product.product_69,1220.09,"OTRAS LEGUMINOSAS SECAS Y PELADAS ESTEN O NO DESCASCARADAS O PARTIDAS: CHOCHOS, HABICHUELAS, ETC.",,
product.product_70,01220.09.1,OTRAS LEGUMINOSAS SECAS Y PELADAS,,
product.product_71,123,OTRAS LEGUMBRES  FRESCAS O REFRIGERADAS,,
product.product_72,1231,ALGARROBAS,,
product.product_73,1231,"ALGARROBAS ( CON O SIN SEMILLA), FRESCAS O SECAS TRITURADAS O MOLIDAS O NO, PERO SIN MAS PREPARACION",,
product.product_74,1239,"OTRAS  LEGUMBRES,FRESCAS O REFRIGERADAS N.C.P.",,
product.product_75,1239,TOMATES RINON FRESCOS O REFRIGERADOS.,,
product.product_76,01239.00.1,TOMATES RINON,,
product.product_77,1239.1,CEBOLLAS Y CHALOTES FRESCAS O REFRIGERADAS.,,
product.product_78,01239.10.1,CEBOLLAS Y CHALOTES ,,
product.product_79,1239.11,"AJOS, PUERROS Y OTRAS LEGUMBRES ALIACEAS, FRESCAS O REFRIGERADAS",,
product.product_80,01239.11.1,"AJOS, PUERROS Y OTRAS LEGUMBRES ALIACEAS",,
product.product_81,1239.12,"COL, COLES DE BRUSELAS Y OTROS REPOLLOS FRESCOS O REFRIGERADOS.",,
product.product_82,01239.12.1,"COL, COLES DE BRUSELAS Y OTROS REPOLLOS",,
product.product_83,1239.13,COLIFLORES Y BROCOLIS FRESCOS Y REFRIGERADOS.,,
product.product_84,01239.13.1,COLIFLORES Y BROCOLIS,,
product.product_85,1239.14,"LECHUGAS REPOLLADAS O NO, FRESCAS O REFRIGERADAS: LECHUGA ROMANA, CABEZAS DE LECHUGA.",,
product.product_86,01239.14.1,LECHUGAS REPOLLADAS O NO,,
product.product_87,1239.15,"ACHICORIAS, COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA.",,
product.product_88,01239.15.1,ACHICORIAS,,
product.product_89,1239.16,ZANAHORIAS FRESCAS O REFRIGERADAS (EXCEPTO PARA FORRAJE).,,
product.product_90,01239.16.1,ZANAHORIAS,,
product.product_91,1239.17,NABOS FRESCOS Y REFRIGERADOS.,,
product.product_92,01239.17.1,NABOS,,
product.product_93,1239.18,REMOLACHAS DE ENSALADA FRESCAS O REFRIGERADAS.,,
product.product_94,01239.18.1,REMOLACHAS DE ENSALADA,,
product.product_95,1239.2,RABANOS FRESCOS O REFRIGERADOS,,
product.product_96,1239.21,PEPINOS Y PEPINILLOS FRESCOS O REFRIGERADOS.,,
product.product_97,01239.21.1,PEPINOS Y PEPINILLOS,,
product.product_98,1239.22,"GUISANTES O ARVEJAS FRESCAS O REFRIGERADAS, EN VAINA O DESVAINADAS.",,
product.product_99,01239.22.1,GUISANTES O ARVEJAS,,
product.product_100,1239.23,"FRIJOLES FRESCOS O REFRIGERADOS, EN VAINA O DESVAINADOS.",,
product.product_101,01239.23.1,FRIJOL HARICOT,,
product.product_102,1239.24,"HABAS Y OTRAS LEGUMBRES FRESCAS O REFRIGERADAS, EN VAINA O DESVAINADAS.",,
product.product_103,01239.24.1,"HABAS Y OTRAS LEGUMBRES FRESCAS O REFRIGERADAS, EN VAINA O DESVAINADAS.",,
product.product_104,1239.25,CHAMPINONES Y TRUFAS FRESCOS O REFRIGERADOS.,,
product.product_105,01239.25.1,CHAMPINONES Y TRUFAS ,,
product.product_106,1239.26,ALCACHOFAS FRESCAS Y REFRIGERADAS.,,
product.product_107,01239.26.1,ALCACHOFAS,,
product.product_108,1239.27,ESPARRAGOS FRESCOS O REFRIGERADOS.,,
product.product_109,01239.27.1,ESPARRAGOS ,,
product.product_110,1239.28,BERENJENAS FRESCAS O REFRIGERADAS.,,
product.product_111,01239.28.1,BERENJENAS ,,
product.product_112,1239.3,APIOS FRESCOS O REFRIGERADOS.,,
product.product_113,01239.30.1,APIOS ,,
product.product_114,1239.31,"PIMIENTOS, PIMIENTA Y OTROS DEL GENERO CAPSICUM, FRESCOS O REFRIGERADOS.",,
product.product_115,01239.31.1,"PIMIENTOS, PIMIENTA Y OTROS DEL GENERO CAPSICUM",,
product.product_116,1239.32,"ESPINACAS, ACELGAS, BERROS FRESCOS O REFRIGERADOS.",,
product.product_117,01239.32.1,"ESPINACAS, ACELGAS, BERROS",,
product.product_118,1239.33,ACEITUNAS FRESCAS O REFRIGERADAS.,,
product.product_119,01239.33.1,ACEITUNAS FRESCAS O REFRIGERADAS.,,
product.product_120,1239.34,"CALABAZAS (ZAPALLO), CALABACIN, SUQUINI, SAMBOS, FRESCOS O REFRIGERADOS.",,
product.product_121,01239.34.1,"CALABAZAS (ZAPALLO), CALABACIN, SUQUINI, SAMBOS",,
product.product_122,1239.35,MAIZ DULCE (CHOCLO) FRESCO O REFRIGERADO.,,
product.product_123,01239.35.1,MAIZ DULCE (CHOCLO),,
