codigo,codigo_padre,descripcion,fecha_desde,impuestos_cliente,impuestos_proveedor
0,,"PRODUCTOS DE LA AGRICULTURA,  SILVICULTURA Y LA PESCA",2008-01-24,,
1,0,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",2008-01-23,,
11,1,CEREALES,2008-01-23,,
111,11,TRIGO Y MORCAJO O TRANQUILLON,2008-01-25,,
1110,111,TRIGO Y MORCAJO O TRANQUILLON SIN MOLER,2008-01-25,,
1110,1110,TRIGO DURO SIN MOLER,2008-08-12,,
1110.1,1110,OTROS TIPOS DE TRIGO (INCLUSO ESCANDA O MORCAJO O TRANQUILLON) SIN MOLER ,2008-01-25,,
112,11,MAIZ,2008-01-25,,
1120,112,MAIZ,2008-01-25,,
1120,1120,"MAIZ PARA SEMILLA, (EXCEPTO MAIZ DULCE)",2008-01-25,,
01120.00.1,1120,MAIZ PARA SEMILLA VARIEDAD HIBRIDO(A),,,
01120.00.2,1120,MAIZ PARA SEMILLA VARIEDAD PURA,,,
1120.1,1120,"OTRO MAIZ DURO: AMARILLO Y BLANCO (MOROCHO), MAIZ REVENTON (CANGUIL)",2008-01-25,,
01120.10.1,1120.1,OTRO MAIZ DURO,,,
113,11,ARROZ CON CASCARA,2008-01-25,,
1130,113,ARROZ CON CASCARA,2008-01-25,,
1130,1130,ARROZ CON CASCARA (ARROZ PADDY O ARROZ EN BRUTO),2008-01-25,,
01130.00.1,1130,ARROZ  CON CASCARA,,,
114,11,ARROZ DESCASCARILLADO,2008-01-25,,
1140,114,ARROZ DESCASCARILLADO,2008-01-25,,
1140,1140,"ARROZ DESCASCARILLADO (ARROZ PILADO), PERO SIN OTRA PREPARACION: ARROZ CARGO O ARROZ MORENO",2008-01-25,,
01140.00.1,1140,ARROZ DESCASCARILLADO,,,
115,11,CEBADA,2008-01-25,,
1150,115,CEBADA,2008-01-25,,
1150,1150,"CEBADA EN GRANO SECO, SIN MOLER.",2008-01-25,,
01150.00.1,1150,CEBADA EN GRANO SECO,,,
116,11,CENTENO Y AVENA,2008-01-25,,
1160,116,CENTENO Y AVENA,2008-01-25,,
1160,1160,"CENTENO EN GRANO SECO, SIN MOLER.",2008-01-25,,
01160.00.1,1160,CENTENO EN GRANO SECO,,,
1160.1,1160,"AVENA EN GRANO SECO, SIN MOLER.",2008-01-25,,
01160.10.1,1160.1,"AVENA EN GRANO SECO, SIN MOLER.",,,
119,11,OTROS CEREALES,2008-01-25,,
1190,119,OTROS CEREALES,2008-01-25,,
1190,1190,"SORGO DE GRANO, SIN MOLER",2008-01-25,,
01190.00.1,1190,SORGO DE GRANO,,,
1190.1,1190,"MIJO EN GRANO SECO, SIN MOLER",2008-01-25,,
11901001,1190.1,MIJOSECO2,2008-07-01,,
